pri_sch_name,pri_sch_latitude,pri_sch_longitude,
Sembawang Primary School,1.445043645,103.8210215,
Seng Kang Primary School,1.389250457,103.8995279,
Sengkang Green Primary School,1.392839251,103.8751588,
Shuqun Primary School,1.34756849,103.721558,
Si Ling Primary School,1.432699866,103.7857788,
South View Primary School,1.381766725,103.7472898,
Springdale Primary School,1.394958184,103.8898965,
Stamford Primary School,1.304091083,103.857393,
Tampines North Primary School,1.36069172,103.9489368,
Tampines Primary School,1.350486398,103.9435731,
Tao Nan School,1.304631529,103.9112042,1
Teck Ghee Primary School,1.365200631,103.8510322,
Teck Whye Primary School,1.383558303,103.7536828,
Telok Kurau Primary School,1.330913472,103.9113491,
Temasek Primary School,1.317716389,103.9456952,
Townsville Primary School,1.360362634,103.8541855,
Unity Primary School,1.40282339,103.7469934,
Valour Primary School,1.406871355,103.8989109,
Waterway Primary School,1.39915421,103.9186708,
Wellington Primary School,1.451933871,103.8223206,
West Grove Primary School,1.344712122,103.6989642,
West Spring Primary School,1.389463118,103.7660773,
West View Primary School,1.383590574,103.7602891,
Westwood Primary School,1.347154632,103.7005267,
White Sands Primary School,1.365517813,103.9609482,
Woodgrove Primary School,1.43305806,103.7903896,
Woodlands Primary School,1.436746383,103.7917717,
Woodlands Ring Primary School,1.434769705,103.7978411,
Xinghua Primary School,1.357996547,103.8902164,
Xingnan Primary School,1.342684876,103.687724,
Xinmin Primary School,1.371414726,103.8830391,
Xishan Primary School,1.433501455,103.8382893,
Yangzheng Primary School,1.348972024,103.8683625,
Yew Tee Primary School,1.396961392,103.7511946,
Yio Chu Kang Primary School,1.377822709,103.8855687,
Yishun Primary School,1.433496399,103.8340274,
Yu Neng Primary School,1.333903809,103.9320341,
Yuhua Primary School,1.342919818,103.7408611,
Yumin Primary School,1.351459603,103.9507161,
Zhangde Primary School,1.28449822,103.826149,
Zhenghua Primary School,1.379802361,103.7691708,
Zhonghua Primary School,1.360166735,103.8696959,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
